Company Name,Company Type,Website
Scrubtious,Home Goods,https://www.etsy.com/shop/ScrubtiousInc?source=aw&utm_source=affiliate_window&utm_medium=affiliate&utm_campaign=us_location_buyer&utm_term=3657&utm_content=304459&awc=6220_1592865520_3ca4248253c83d6e33a73bedc9296db1
Seventh and Oak,Candle,https://www.seventhandoak.com/shop
Shawnee's Goodies,Food,https://www.shawneesgoodies.com/about
Shea Shea Bakery,Bath & Body,https://sheamakery.com/collections/all
Sista Teas,Food,https://sistateas.com/
Skin by Nequai,Skincare,https://www.skinbynequai.com/
Skin Cabinet,Beauty,http://www.skincabinet.com/
Skin Rituals Shop,Home Goods,https://www.etsy.com/shop/skinritualsshop?source=aw&utm_source=affiliate_window&utm_medium=affiliate&utm_campaign=us_location_buyer&utm_term=3657&utm_content=304459&awc=6220_1592865433_87647b1805d90d541710de90ed8df521
Skinbuttr,Bath & Bodycare,https://skinbuttr.com/
Smell Good Spa,Beauty,smellgoodspa.com
So Be It,Decor,http://sobeitshop.com/
Soap Junkii,Bath & Body,https://soapjunkii.com/
Sol Cacao,Food,https://www.solcacao.com/
Soul Balm Sisters,Skincare,https://smart.bio/soulbalmsisters/
Southern Culture,Food,https://socukitchen.com/
Southern Elegance Candle Co.,Candle,https://www.secandleco.com/
Southern Souffle,Food,http://www.southernsouffle.com/about
"Sow Grow Beautiful Flowers, LLC",Decor,http://www.sowgrowbeautifulflowers.com/p/about.html
Spiced Sugah,Health,https://www.spicedsugah.com/shop
Spoiled Boutique,Apparel,https://thespoiledboutique.com/
Statements By Habibi,Accessories,http://www.statementsbyhabibi.com/
Sticks and Stones Tees & More,Apparel,http://sticksandstonest4u.com/
Still Me…Even Better,Health,https://iamstillmeevenbetter.com/
Sublime Doughnuts,Food,http://www.sublimedoughnuts.com/
Sugar Jam Cookies,Food,https://www.sugarjamcookies.com/
Sugar Vault Desserts,Food,https://www.sugarvaultdesserts.com/
SugarRush,Beauty,http://sugarushbbe.bigcartel.com/
Summer Jean & Co.,Skincare,https://www.summerjean.co/
Summer Orchid,Decor,http://www.summerorchidcrafts.com/
Sunflowers & Honeycombs,Home Goods,https://www.etsy.com/shop/sunflowershoneycombs/?source=aw&utm_source=affiliate_window&utm_medium=affiliate&utm_campaign=us_location_buyer&utm_term=3657&utm_content=304459&awc=6220_1592865323_8fa1f40baeae303a85c60078a6e0cb29
Support Black Colleges,Apparel,https://supportblackcolleges.org/
Swank Blue,Apparel,https://swankblue.com/
Sweet Lobby,Food,http://www.sweetlobby.com/
Sweetart,Food,https://sweetartstl.com/
Sweetscapes,Food,http://www.sweet-scapes.com/
Sydney Starr Travel,Services,http://www.sydneystarrtravel.com/
Sydney's Sweets,Food,https://www.sydneyssweets.com/
Symphony Potato Chips,Food,https://symphonychips.com/
Taliah Waajid,Hair,https://naturalhair.org/
Tame Your Mane Beauty Supply,Beauty,http://www.tameyourmanes.com/
Taupe Coat,Beauty,https://taupecoat.com/
Tees By Tahquetta,Apparel,http://www.teesbytahquetta.com/
Telfar,Accessories,telfar.com
Temi,Skincare,https://www.essentialsbytemi.com/
Temple Zen,Skincare,https://yourtemplezen.com/pages/our-method
Ten & Lee Swimwear Ltd,Swimwear,https://tenandlee.com/password
Ten to One Rum,Food,https://www.tentoonerum.com/
Terra-tory,Bath & Bodycare,https://www.terra-tory.com/about
That's Chelsea,Health,https://society6.com/thatschelsea
The Bakers Delight,Food,https://www.facebook.com/TheBakersDelightTX/
The Bark Shoppe,Pets,https://www.thebarkshoppe.com/
The Black Leaf Tea and Culture Shop,Food,http://www.theblackleaftea.com/
The College Application Specialist,Services,http://thecollegeappspecialist.com/
The Culturist Union,Services,http://www.theculturistunion.com/
The Cupcake Collection,Food,https://www.thecupcakecollection.com/
The Cut Buddy,Hair,thecutbuddy.com
The Diary of She,Apparel,https://www.thediaryofshe.com/
The Editorial Nail,Nailcare,https://theeditorialnail.com/shop-ten/
The Folklore,Apparel,shopthefolklore.com
The Furlough Cheesecake,Food,https://thefurloughcheesecake.com/
The Gem Palette,Jewelry,https://thegempalette.co/collections/shop-all
The Glossy Boutique,Cosmetics,https://theglossyboutique.wixsite.com/letsgetglossy
The Green Laundress,Health,http://www.thegreenlaundress.com/
The Honey Pot,Feminine Care,thehoneypot.co
The Hood Witch,Home Goods,http://www.thehoodwitch.com/
The International Tea Emporium,Food,http://mywinetea.com/
The Juice Boxx,Skincare,https://thejuiceeboxx.com/
The Koop,Candle,https://thekoopnewyork.com/
The Land of Bekagage,Health,http://www.thelandofbekagage.com/
The Lip Bar,Cosmetics,https://www.thelipbar.com/
The Mane Choice,Hair,https://themanechoice.com/
The Melanin Brand,Apparel,http://themelaninbrand.com/
The Mouthy Heart,Apparel,http://www.themouthyheart.com/
The Precious Home,Decor,http://www.theprecioushome.com/
The Ratchet Revolutionary,Petss,https://www.kittysenergy.org/doggy-bag
The Rustic Art,Food,https://www.facebook.com/TheRusticTart/
The Sixes,Apparel,thesixes.com
The Spice Suite,Food,https://www.thespicesuite.com/
The Sweetest Thing Bakeshop,Food,http://www.thesweetestthingbakeshop.com/
The Twentea Company,Food,http://www.thetwenteacompany.com/
The Wax Project,Apparel,https://thewaxproject.com/
The Wrap Life,Headwear,thewrap.life
The Zen Company,Home Goods,https://www.etsy.com/shop/TheZenCompany?source=aw&utm_source=affiliate_window&utm_medium=affiliate&utm_campaign=us_location_buyer&utm_term=3657&utm_content=304459&awc=6220_1592865669_fe57962fdf7ec05dff5e07cdc9d4fd2f
Theopolis Vineyards,Food,https://www.theopolisvineyards.com/
Therapy Topia,Services,https://therapytopia.com/
These Pink Lips,Swimwear,https://thesepinklips.com/collections/swimwear
Third Eye Soap Store,Bath & Body,https://www.etsy.com/shop/ThirdEyeSoapStore
Tionne Skin,Skincare,https://www.tionneskin.com/
"TLJ Professional Services, INC",Services,http://www.tljprofessionalservices.com/
Touched By Grace Bath & Bodycare,Skincare,https://linktr.ee/touchedbygraceBath & Bodycare
Tranquility’s Designs,Accessories,http://www.shoptranquility5.com/
Transform With Nadia,Health,http://transformwithnadia.com/
Treats by Bernadette,Food,https://www.treatsbybernadette.com/
Tree Fairfax,Accessories,https://treefairfax.com/shop
Tuesday Melody,Apparel,http://tuesdaymelody.square.site/
Two Days Off,Apparel,https://www.twodaysoff.com/
Two Dough Girls,Food,http://www.twodoughgirls.com/
Ultra Violet,Accessories,https://ultraviolet.nyc/
Uncle Nearest Tennessee Whiskey,Food,https://unclenearest.com/
Unlax Candles,Candle,https://unlaxcandles.com/
Unwrp,Paper,unwrp.com
Uoma Beauty,Cosmetics,https://uomabeauty.com/
Uprising Muffins,Food,https://uprisingmuffins.com/
Urembo Asili,Beauty,https://uremboasili.com/
Valerie Madison,Apparel,https://www.valeriemadison.com/
Vibrant Health,Health,vibranthealth.com
Warcloud Brewing,Food,http://warcloudbrewing.com/
Welstand Boutique,Beauty,http://www.welstandboutique.com/
Whimsical Fusions,Beauty,http://whimsicalfusions.com/
WhitneyManney Fashion & Textiles,Apparel,https://www.whitneymanney.com/
Wholesome Organics,Health,https://whorganics.com/
Wrap Life,Hair,https://thewrap.life/
Xhale Swim,Swimwear,https://xhaleswim.com/
Yasmine Cheyenne,Apparel,https://yasminecheyenne.com/shop/
Yolélé Foods,Food,https://yolelefoods.com/
Zach and Zoe,Food,https://zachandzoe.co/
Zaria’s Milk,Services,http://zariasmilk.com/
Zaric Fair Trade,Accessories,http://zaricfairtrade.com/
Zeni Ardenys,Bath & Bodycare,https://zeniardenys.com/
Zou Xou,Apparel,https://www.zouxou.com/
